,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,90,AR,1569424753,86,-54.81,-68.31,6.0,11.3
1,Mataura,95,NZ,1569424858,83,-46.19,168.86,3.89,2.24
2,Rikitea,0,PF,1569424859,67,-23.12,-134.97,21.67,2.19
3,Punta Arenas,20,CL,1569424835,48,-53.16,-70.91,8.0,16.5
4,Avarua,79,CK,1569424829,88,-21.21,-159.78,22.0,2.1
5,Batagay-Alyta,92,RU,1569424862,95,67.8,130.41,-7.13,1.49
6,Ketchikan,90,US,1569424734,100,55.34,-131.65,12.0,5.1
7,Lethem,0,GY,1569424866,51,3.38,-59.8,32.07,2.84
8,Bouake,75,CI,1569424867,62,7.69,-5.02,31.0,1.0
9,Hasaki,75,JP,1569424868,88,35.73,140.83,20.0,4.1
10,New Norfolk,55,AU,1569424869,66,-42.78,147.06,10.0,5.1
11,Souillac,100,FR,1569424870,93,45.6,-0.6,18.33,7.7
12,Hilo,40,US,1569424572,64,19.71,-155.08,23.0,3.1
13,Port Alfred,0,ZA,1569424873,66,-33.59,26.89,17.78,4.92
14,Vaini,75,IN,1569424874,94,15.34,74.49,23.0,4.1
15,Beloha,100,MG,1569424876,64,-25.17,45.06,19.27,6.03
16,Mpwapwa,75,TZ,1569424877,35,-6.35,36.49,27.57,5.74
17,Kitui,79,KE,1569424878,48,-1.37,38.02,26.77,5.72
18,Bredasdorp,0,ZA,1569424880,42,-34.53,20.04,25.0,9.8
19,Murray Bridge,42,AU,1569424881,73,-35.12,139.28,13.33,3.37
20,Hunterville,56,NZ,1569424882,61,-39.94,175.57,8.89,4.92
21,Kapaa,90,US,1569424884,83,22.08,-159.32,27.0,4.1
22,Suratgarh,85,IN,1569424887,41,29.32,73.9,33.67,5.11
23,Castro,40,CL,1569424888,76,-42.48,-73.76,14.0,6.2
24,North Bend,1,US,1569424889,100,43.41,-124.22,13.89,3.1
25,Tuatapere,100,NZ,1569424890,83,-46.13,167.69,3.89,2.24
26,Beira,75,ES,1569424891,68,43.2,-8.36,20.0,4.1
27,Busselton,95,AU,1569424893,60,-33.64,115.35,13.89,4.32
28,Ishinomaki,2,JP,1569424894,72,38.42,141.3,12.57,2.45
29,San Patricio,1,PY,1569424895,39,-26.98,-56.83,26.57,3.52
30,Comodoro Rivadavia,40,AR,1569424896,35,-45.87,-67.48,22.0,12.3
31,Butaritari,0,KI,1569424899,71,3.07,172.79,29.37,8.61
32,Nalut,0,LY,1569424900,11,31.86,10.98,37.67,7.11
33,Ahipara,69,NZ,1569424903,100,-35.17,173.16,8.33,14.11
34,Kaitangata,86,NZ,1569424906,83,-46.28,169.85,1.07,5.04
35,Horsham,59,AU,1569424907,94,-36.71,142.2,6.07,0.89
36,Pisco,90,PE,1569424908,30,-13.71,-76.2,22.0,3.6
37,Port Elizabeth,1,US,1569424909,38,39.31,-74.98,24.0,4.6
38,Thompson,75,CA,1569424910,70,55.74,-97.86,6.0,6.7
39,Coquimbo,90,CL,1569424912,81,-29.95,-71.34,20.56,1.5
40,Fez,20,MA,1569424913,13,34.03,-5.02,33.0,3.1
41,Albany,40,US,1569424635,63,42.65,-73.75,19.44,1.23
42,Broome,40,GB,1569424915,82,52.47,1.45,20.0,3.6
43,Adelanto,1,US,1569424916,21,34.58,-117.41,24.44,2.1
44,Cape Town,0,ZA,1569424803,33,-33.93,18.42,27.22,4.6
45,Kavieng,33,PG,1569424838,75,-2.57,150.8,28.47,3.48
46,Nelson Bay,100,AU,1569424921,93,-32.72,152.14,16.11,1.76
47,Clyde River,90,CA,1569424841,73,70.47,-68.59,1.0,2.1
48,Tuktoyaktuk,75,CA,1569424924,93,69.44,-133.03,2.0,2.6
49,Liverpool,75,GB,1569424925,82,53.41,-2.98,18.89,3.6
50,Chokurdakh,0,RU,1569424926,85,70.62,147.9,-4.43,2.37
51,Padang,100,ID,1569424927,84,-0.92,100.36,26.37,3.25
52,Norman Wells,40,CA,1569424928,86,65.28,-126.83,0.0,3.1
53,Bluff,41,AU,1569424930,86,-23.58,149.07,16.77,3.98
54,Airai,0,TL,1569424931,84,-8.93,125.41,21.07,1.89
55,Sobolevo,90,RU,1569424932,67,54.43,31.9,7.17,1.84
56,Gravdal,0,NO,1569424933,55,59.79,5.78,17.0,2.6
57,Saint-Philippe,75,CA,1569424936,82,45.36,-73.48,16.67,1.5
58,Cabo San Lucas,5,MX,1569424881,69,22.89,-109.91,27.22,2.6
59,Port Lincoln,31,AU,1569424938,70,-34.72,135.86,13.87,6.76
60,Esmeraldas,75,BR,1569424941,68,-19.76,-44.31,19.0,5.1
61,Buraydah,0,SA,1569424943,15,26.33,43.97,38.0,2.1
62,Tasiilaq,75,GL,1569424944,87,65.61,-37.64,7.0,1.28
63,Ancud,40,CL,1569424945,76,-41.87,-73.83,14.0,6.2
64,Esperance,100,AU,1569424814,93,-33.86,121.89,11.0,1.5
65,Oktyabrskiy,75,RU,1569424947,65,55.61,37.97,7.22,1.0
66,Santa Maria,40,BR,1569424949,37,-16.02,-48.01,29.44,3.6
67,Upernavik,95,GL,1569424950,78,72.79,-56.15,1.97,3.33
68,Cherskiy,0,RU,1569424951,81,68.75,161.3,-3.93,1.5
69,Rafraf,20,TN,1569424954,57,37.19,10.18,27.0,5.17
70,Mount Isa,67,AU,1569424955,27,-20.73,139.49,23.0,6.7
71,Cidreira,32,BR,1569424956,57,-30.17,-50.22,21.57,2.13
72,Mar del Plata,98,AR,1569424958,43,-46.43,-67.52,17.77,14.13
73,Concordia,0,AR,1569424959,41,-31.4,-58.02,24.0,1.78
74,Ayan,0,IR,1569424960,19,38.23,44.7,14.67,1.84
75,Hermanus,0,ZA,1569424961,44,-34.42,19.24,25.0,4.47
76,Ampanihy,100,MG,1569424962,69,-24.69,44.75,18.97,5.7
77,Leshukonskoye,100,RU,1569424964,93,64.9,45.76,3.77,4.05
78,Aksu,0,KZ,1569424965,52,52.04,76.93,5.0,2.0
79,Mongo,100,CD,1569424966,59,-5.62,14.6,27.57,2.12
80,Ballina,75,IE,1569424968,100,54.11,-9.15,17.22,5.1
81,Vestmannaeyjar,90,IS,1569424969,100,63.44,-20.27,11.0,5.1
82,Belomorsk,100,RU,1569424971,66,64.52,34.76,4.87,3.97
83,Colac,71,AU,1569424973,97,-38.34,143.59,6.67,0.37
84,Cocorit,20,MX,1569424974,83,27.57,-109.96,26.0,5.7
85,Jamestown,8,AU,1569424975,65,-33.21,138.6,9.47,3.6
86,Puerto Ayora,20,EC,1569424735,78,-0.74,-90.35,22.0,7.2
87,Gamba,77,CN,1569424978,33,28.28,88.52,6.37,0.13
88,Faya,40,SA,1569424979,14,18.39,42.45,26.0,5.1
89,Barrow,0,AR,1569424980,40,-38.31,-60.23,21.97,2.84
90,Cabedelo,40,BR,1569424981,54,-6.97,-34.84,29.0,8.2
91,Hamilton,75,CA,1569424744,60,43.26,-79.87,24.44,7.7
92,Necochea,0,AR,1569424983,75,-38.55,-58.74,14.44,2.24
93,Shimoda,71,JP,1569424984,83,34.7,138.93,21.67,2.68
94,Brumunddal,89,NO,1569424986,88,60.89,10.94,10.0,1.6
95,Georgetown,75,GY,1569424747,70,6.8,-58.16,31.0,3.1
96,Brae,75,GB,1569424989,87,60.4,-1.35,13.0,10.3
97,Chapais,90,CA,1569424990,87,49.78,-74.86,9.0,5.1
98,Am Timan,64,TD,1569424992,57,11.04,20.28,33.47,0.77
99,Sabang,96,PH,1569424993,85,13.8,121.11,26.11,1.61
100,Sovetskiy,81,RU,1569424994,78,56.76,48.47,3.27,2.52
101,Port Hardy,75,CA,1569424862,100,50.7,-127.42,9.0,1.0
102,Kaduy,40,RU,1569424996,60,59.2,37.15,5.0,1.0
103,Atar,0,MR,1569424997,9,20.52,-13.05,42.17,5.03
104,Arraial do Cabo,75,BR,1569424998,88,-22.97,-42.02,21.0,6.7
105,Provideniya,1,RU,1569425000,78,64.42,-173.23,-1.13,1.85
106,Sangar,7,RU,1569425001,90,63.92,127.47,0.87,0.78
107,Atuona,67,PF,1569425002,79,-9.8,-139.03,26.17,9.18
108,Constitucion,20,MX,1569425003,67,23.99,-104.67,19.44,3.1
109,Lorengau,18,PG,1569425004,83,-2.02,147.27,26.27,2.9
110,Nome,1,US,1569425005,66,30.04,-94.42,30.0,3.6
111,Carnarvon,0,ZA,1569425007,3,-30.97,22.13,23.87,7.41
112,Hayesville,1,US,1569425008,68,35.05,-83.82,26.0,0.56
113,Kamenka,90,MD,1569425009,48,48.03,28.7,18.89,2.68
114,Shashi,96,CN,1569425010,57,27.02,114.08,18.47,0.49
115,Malpe,75,IN,1569425012,88,13.35,74.72,26.0,1.5
116,Jijiga,99,ET,1569425015,50,9.35,42.8,20.87,2.71
117,Lompoc,1,US,1569424823,71,34.64,-120.46,19.0,1.5
118,Qaanaaq,100,GL,1569425017,78,77.48,-69.36,-6.33,3.04
119,Razole,100,IN,1569425018,95,16.48,81.84,25.57,3.03
120,Lebu,100,ET,1569425020,87,8.96,38.73,15.87,1.01
121,Seydi,0,NE,1569425022,35,13.34,7.75,37.0,1.0
122,Chuy,2,UY,1569425023,52,-33.69,-53.46,19.97,1.29
123,Luderitz,0,NA,1569425025,30,-26.65,15.16,27.0,2.1
124,Yulara,34,AU,1569424827,51,-25.24,130.99,17.0,2.6
125,Moissala,100,TD,1569425027,79,8.34,17.77,28.97,1.59
126,Sao Filipe,100,CV,1569425028,84,14.9,-24.5,26.07,6.67
127,Vila,20,IT,1569425029,44,45.18,8.4,25.56,2.6
128,Flinders,90,AU,1569425031,82,-34.58,150.85,13.0,2.6
